var_file1,var_file2,type,hash,samples_file1,samples_file2,const_file1,const_file2,input_file1,input_file2,same_name,first_file1,last_file1,first_file2,last_file2
A13,A13,uint8,98d7ca4438d7ea7f,100,100,false,false,true,true,true,11010001,11111101,11010001,11111101
L0x5555552524,L0x10d04,uint32,326f32b2ad65cf5,100,100,true,true,false,false,false,10101000000110100110011001001011,10101000000110100110011001001011,10101000000110100110011001001011,10101000000110100110011001001011
L0x55555524ec,L0x10ccc,uint32,be388876d79ca9c5,100,100,true,true,false,false,false,10111111010110010111111111000111,10111111010110010111111111000111,10111111010110010111111111000111,10111111010110010111111111000111
A17,A17,uint8,29405b0f225cb348,100,100,false,false,true,true,true,01101000,01000011,01101000,01000011
L0x5555552544,L0x10d24,uint32,3a2669f8537a6205,100,100,true,true,false,false,false,00011110001101110110110000001000,00011110001101110110110000001000,00011110001101110110110000001000,00011110001101110110110000001000
A19,A19,uint8,c13a6003c48a1fb3,100,100,false,false,true,true,true,01000110,10100011,01000110,10100011
L0x55555524ac,L0x10c8c,uint32,49a20956214984a5,100,100,true,true,false,false,false,01010101000011000111110111000011,01010101000011000111110111000011,01010101000011000111110111000011,01010101000011000111110111000011
A4,A4,uint32,c26ce253eb3bb414,100,100,false,false,true,true,true,00001000000011100101110000010101,01101011100010101111001111001100,00001000000011100101110000010101,01101011100010101111001111001100
w11,A4,uint32,c26ce253eb3bb414,100,100,false,false,false,true,false,00001000000011100101110000010101,01101011100010101111001111001100,00001000000011100101110000010101,01101011100010101111001111001100
A27,A27,uint8,afed43b5ac3235a6,100,100,false,false,true,true,true,00001111,01110000,00001111,01110000
L0x5555552488,L0x10c68,uint32,99c56bf83ab8f1fd,100,100,true,true,false,false,false,10110101110000001111101111001111,10110101110000001111101111001111,10110101110000001111101111001111,10110101110000001111101111001111
L0x55555524b0,L0x10c90,uint32,2f820e59d669a945,100,100,true,true,false,false,false,01110010101111100101110101110100,01110010101111100101110101110100,01110010101111100101110101110100,01110010101111100101110101110100
A02,A02,uint8,7be12af3e36c46d3,100,100,false,false,true,true,true,00011111,01000110,00011111,01000110
A53,A53,uint8,832fddc33e7fff36,100,100,false,false,true,true,true,01011111,00011010,01011111,00011010
A34,A34,uint8,7b6ac77f3315fe48,100,100,false,false,true,true,true,11100011,11000101,11100011,11000101
A50,A50,uint8,fa8ad3431237d1f1,100,100,false,false,true,true,true,01100000,00111010,01100000,00111010
ext_0,L0x407ffd04,uint32,9b536512f6584e1a,100,100,false,false,false,false,false,00111100011110010010100011011000,10100001101010110011010100001110,00111100011110010010100011011000,10100001101010110011010100001110
w8,L0x22060,uint32,7ef1cb679a609764,100,100,false,false,false,false,false,01010011101011101000010111010100,10110110100100010100101011111101,01010011101011101000010111010100,10110110100100010100101011111101
w8,a5,uint32,7ef1cb679a609764,100,100,false,false,false,false,false,01010011101011101000010111010100,10110110100100010100101011111101,01010011101011101000010111010100,10110110100100010100101011111101
w8,r9,uint32,7ef1cb679a609764,100,100,false,false,false,false,false,01010011101011101000010111010100,10110110100100010100101011111101,01010011101011101000010111010100,10110110100100010100101011111101
L0x555555255c,L0x10d3c,uint32,2665668235c86e35,100,100,true,true,false,false,false,01101000001011100110111111110011,01101000001011100110111111110011,01101000001011100110111111110011,01101000001011100110111111110011
A41,A41,uint8,94523516f0903240,100,100,false,false,true,true,true,10110110,01011001,10110110,01011001
w6_r,r7_r,uint32,d620474569f9dd56,100,100,false,false,false,false,false,11001011111000111110110000011100,11101100011001011111101001110111,11001011111000111110110000011100,11101100011001011111101001110111
A11,A11,uint8,edc216215319fa1b,100,100,false,false,true,true,true,01100010,01111010,01100010,01111010
A14,A14,uint8,81e396adbd12ec14,100,100,false,false,true,true,true,00100011,00001010,00100011,00001010
L0x5555552510,L0x10cf0,uint32,65e7100a1ed7eae5,100,100,true,true,false,false,false,01100101000010100111001101010100,01100101000010100111001101010100,01100101000010100111001101010100,01100101000010100111001101010100
s10,A62,uint8,c49b9e1470e3ffd2,100,100,false,false,false,true,false,01101010,01101001,01101010,01101001
